Ordem	Código_IBGE_do_Município	Código_da_Unidade_da_Federação	Sigla_da_Unidade_da_Federação	Nome_das_Grandes_Regiões	Código_IBGE_da_Mesoregião	Nome_da_Mesoregião	Código_IBGE_da_Microregião	Nome_da_Microregião	Área_da_unidade_territorial	Estabelecimentos_de_Saúde_SUS	Índice_de_Desenvolvimento_Humano_Municipal_-_2010_(IDHM_2010)	Matrícula_-_Ensino_fundamental_-_2012	Matrícula_-_Ensino_médio_-_2012	Número_de_unidades_locais	Pessoal_ocupado_total	PIB_per_capita_a_preços_correntes	População_residente	População_residente_-_Homens	População_residente_-_Mulheres	População_residente_alfabetizada	População_residente_que_frequentava_creche_ou_escola	População_residente,_religião_católica_apostólica_romana	População_residente,_religião_espírita	População_residente,_religião_evangélicas	Valor_do_rendimento_nominal_mediano_mensal_per_capita_dos_domicílios_particulares_permanentes_-_Rural	Valor_do_rendimento_nominal_mediano_mensal_per_capita_dos_domicílios_particulares_permanentes_-_Urbana	Valor_do_rendimento_nominal_médio_mensal_dos_domicílios_particulares_permanentes_com_rendimento_domiciliar,_por_situação_do_domicílio_-_Rural	Valor_do_rendimento_nominal_médio_mensal_dos_domicílios_particulares_permanentes_com_rendimento_domiciliar,_por_situação_do_domicílio_-_Urbana
1	130020	13	AM	Norte	1302	Sudoeste_Amazonense	13003	Alto_Solim§es	76351.667	3	0.45	3731	450	27	791	4312.99	15153	7852	7301	7823	4671	7133	.	2288	20	188.33	867.24	1400.12
2	130165	13	AM	Norte	1302	Sudoeste_Amazonense	13004	Juruß	7578.876	3	0.532	3238	440	34	717	4388.41	13974	7265	6709	8322	6529	11178	.	2282	18.67	198	995.91	1378.2
3	130180	13	AM	Norte	1302	Sudoeste_Amazonense	13004	Juruß	12044.702	6	0.481	3653	576	37	349	4362.21	22254	11355	10899	10913	5926	17921	.	2565	71.43	150	657.36	1404.52
4	130140	13	AM	Norte	1302	Sudoeste_Amazonense	13004	Juruß	15011.774	5	0.563	8163	1208	303	1742	4317.7	30665	15779	14886	16773	12186	23465	13	6179	57.5	208	613.13	1468.82
5	130060	13	AM	Norte	1302	Sudoeste_Amazonense	13003	Alto_Solim§es	8793.417	6	0.574	8692	2285	156	1839	4278.76	33411	17260	16151	21424	14020	19602	.	10518	83.33	216.55	809.88	1501.77
6	130150	13	AM	Norte	1302	Sudoeste_Amazonense	13004	Juruß	7499.327	7	0.509	4018	346	124	819	5805.61	16338	8392	7946	8937	6306	11967	.	3040	26.8	177	508.75	1383.34
7	130230	13	AM	Norte	1302	Sudoeste_Amazonense	13003	Alto_Solim§es	69551.829	6	0.516	5642	778	63	638	4924.03	17992	9432	8560	9543	7509	9724	.	5875	33.33	166.67	632.36	1792.5
8	130210	13	AM	Norte	1301	Norte_Amazonense	13002	Japurß	55791.837	6	0.522	1828	419	24	50	5113.49	7326	3835	3491	4198	3438	4329	10	2416	117.25	223.33	1561.79	1396.04
9	130380	13	AM	Norte	1301	Norte_Amazonense	13001	Rio_Negro	109183.434	24	0.609	11564	2380	296	2650	4722.09	37896	19463	18433	28246	14743	25354	94	9509	12.22	275	726.9	3245.82
10	130406	13	AM	Norte	1302	Sudoeste_Amazonense	13003	Alto_Solim§es	3224.875	10	0.616	13174	2919	273	2613	4441.04	52272	26359	25913	36677	21889	29420	121	15201	61.71	255	761.52	2131.25
11	130350	13	AM	Norte	1304	Sul_Amazonense	13011	Boca_do_Acre	41610.058	8	0.496	3887	407	57	1062	5350.67	18166	9490	8676	10289	6612	13354	.	3249	26.8	170	701.42	1845.99
12	130070	13	AM	Norte	1304	Sul_Amazonense	13011	Boca_do_Acre	21951.264	7	0.588	7060	1597	211	1742	5817.99	30632	15947	14685	19641	10268	17885	.	9660	103	250	708.43	1652.14
13	130423	13	AM	Norte	1302	Sudoeste_Amazonense	13003	Alto_Solim§es	6432.677	4	0.548	3796	838	28	256	4878.11	17079	8777	8302	10838	7653	12487	.	3796	81.6	228	866.43	1732.04
14	130006	13	AM	Norte	1302	Sudoeste_Amazonense	13003	Alto_Solim§es	4758.743	2	0.56	2593	335	32	286	4449.26	9467	4902	4565	6189	4324	5491	9	3318	31.33	142	540.37	1561
15	130100	13	AM	Norte	1302	Sudoeste_Amazonense	13004	Juruß	25767.675	6	0.549	6492	1156	295	1186	4712.64	25774	13259	12515	15792	10000	17229	18	5614	96.67	186.17	766.19	1180.46
16	130360	13	AM	Norte	1301	Norte_Amazonense	13001	Rio_Negro	62846.408	2	0.479	2871	576	33	252	4112.11	18146	9322	8824	9642	4530	10482	.	1577	0	200	802.6	1572.86
17	130410	13	AM	Norte	1304	Sul_Amazonense	13012	Purus	89325.192	8	0.502	4130	669	47	1087	5576.84	19077	10075	9002	10830	6986	9403	.	7959	50	200	657.83	1247.82
18	130160	13	AM	Norte	1302	Sudoeste_Amazonense	13003	Alto_Solim§es	12110.929	5	0.53	5372	1103	112	969	5445.68	22817	11824	10993	13719	9017	16446	4	5579	28	191.25	731.55	1485.5
19	130220	13	AM	Norte	1302	Sudoeste_Amazonense	13004	Juruß	19400.697	3	0.522	3181	507	62	699	4547.67	10802	5548	5254	5603	4942	7281	.	2809	129	182	1124.75	1388.34
20	130420	13	AM	Norte	1303	Centro_Amazonense	13005	TefÚ	23704.475	29	0.639	16176	3082	471	4489	6024.62	61453	31518	29935	44134	25489	35482	156	20742	120	280.75	853.61	2353.65
21	130280	13	AM	Norte	1301	Norte_Amazonense	13002	Japurß	16910.373	7	0.498	4050	566	38	714	4796.93	17528	9407	8121	11513	7943	10557	.	4488	16.5	128.8	687.86	1394.39
22	130426	13	AM	Norte	1303	Centro_Amazonense	13005	TefÚ	10246.237	4	0.527	4288	408	26	80	8632.08	11891	6332	5559	7559	5051	7792	.	3578	122.4	169.4	1122.61	1442.05
23	130002	13	AM	Norte	1303	Centro_Amazonense	13005	TefÚ	5911.768	5	0.527	4092	673	26	638	4473.48	14088	7416	6672	9082	5671	10159	.	3600	86.4	157.14	827.74	1308.07
24	130120	13	AM	Norte	1303	Centro_Amazonense	13006	Coari	57921.906	23	0.586	18496	3779	536	6401	18132.55	75965	39476	36489	52034	29433	53343	30	19880	80	287.5	1025.56	2084.55
25	130040	13	AM	Norte	1301	Norte_Amazonense	13001	Rio_Negro	122476.123	10	0.5	3613	621	134	1114	3934.84	25718	13816	11902	15048	7148	16387	59	4519	0	252.5	742.36	1959.54
26	130090	13	AM	Norte	1304	Sul_Amazonense	13012	Purus	29819.714	3	0.53	2501	474	38	279	4785.91	12738	6872	5866	7856	4081	9223	.	2757	121.67	146.67	858.55	1128.06
27	130130	13	AM	Norte	1303	Centro_Amazonense	13006	Coari	18711.552	9	0.563	4921	836	81	1013	5673.4	23206	12107	11099	15817	8095	14729	5	7752	66.67	187.14	625.32	1523.65
28	130320	13	AM	Norte	1301	Norte_Amazonense	13001	Rio_Negro	37771.378	6	0.57	2451	611	124	817	4750.31	14723	7607	7116	10490	4925	8097	.	4557	56	255	746.82	1514.81
29	130170	13	AM	Norte	1304	Sul_Amazonense	13013	Madeira	33071.79	10	0.605	10558	2005	409	2463	5697.25	44227	23204	21023	31747	16575	34183	203	6874	72.86	287.14	765.12	2254.06
30	130010	13	AM	Norte	1303	Centro_Amazonense	13006	Coari	5795.311	3	0.561	2823	592	81	668	4488.1	16317	8511	7806	10822	5490	10944	5	4567	66.67	222.5	740.72	1511.75
31	130063	13	AM	Norte	1303	Centro_Amazonense	13006	Coari	17250.721	2	0.506	5596	1036	53	96	6800.49	15486	8146	7340	9099	6302	8843	.	5433	47.5	200.67	731.15	1573.69
32	130270	13	AM	Norte	1304	Sul_Amazonense	13013	Madeira	48282.664	13	0.582	10630	2259	506	1684	7731.76	47017	24684	22333	33504	18801	36607	.	8209	134.44	252.5	1304.23	1872.31
33	130083	13	AM	Norte	1303	Centro_Amazonense	13006	Coari	9456.618	9	0.569	2640	452	19	702	5517.15	10975	5812	5163	7782	4432	6075	5	3622	102	230.4	1014.94	1572.86
34	130008	13	AM	Norte	1303	Centro_Amazonense	13006	Coari	2453.937	5	0.594	2350	598	26	363	4968.43	10214	5446	4768	7211	4040	6481	.	3028	114	253.33	917.39	1782.91
35	130330	13	AM	Norte	1304	Sul_Amazonense	13013	Madeira	41187.892	7	0.554	4660	689	192	927	4853.81	21451	11429	10022	14518	7687	15575	.	4791	76.43	200	878.57	1404.9
36	130250	13	AM	Norte	1303	Centro_Amazonense	13007	Manaus	7330.075	24	0.614	21536	5419	918	5168	7330.74	85141	43461	41680	61271	31209	45538	195	31357	158.33	282.86	1163.73	1831.33
37	130080	13	AM	Norte	1304	Sul_Amazonense	13013	Madeira	44251.745	7	0.56	8296	1397	71	1441	4960.88	34961	18237	16724	23839	13909	24589	6	8298	85.86	226.25	848.43	1730.15
38	130255	13	AM	Norte	1303	Centro_Amazonense	13007	Manaus	3975.77	3	0.596	3980	895	79	688	5359.45	22801	11744	11057	16965	9331	13875	21	5736	142	255	1001.08	1795.95
39	130185	13	AM	Norte	1303	Centro_Amazonense	13007	Manaus	2214.251	13	0.613	11000	2415	201	3747	7955.59	40781	20996	19785	29349	15507	22491	42	13443	227.5	224.4	1642.33	1533.85
40	130353	13	AM	Norte	1303	Centro_Amazonense	13008	Rio_Preto_da_Eva	25422.333	20	0.647	6353	1482	267	4911	15808.32	27175	14350	12825	21580	10441	15064	30	8950	275	343	1355.17	1814.56
41	130260	13	AM	Norte	1303	Centro_Amazonense	13007	Manaus	11401.092	363	0.737	360754	97791	25909	534677	26961.15	1802014	879742	922272	1527978	666515	967270	13274	640785	170	418	971.4	3118.67
42	130110	13	AM	Norte	1303	Centro_Amazonense	13007	Manaus	6091.554	16	0.557	6863	1453	126	1278	4988.38	32734	16990	15744	24302	11418	20221	.	9057	72.4	285	788.51	1626.63
43	130014	13	AM	Norte	1304	Sul_Amazonense	13013	Madeira	54240.015	6	0.637	2581	578	342	1086	8855.06	18007	9551	8456	14483	6057	11799	.	4783	196.8	318.33	973.54	1995.77
44	130030	13	AM	Norte	1303	Centro_Amazonense	13007	Manaus	7599.363	10	0.577	8682	1713	110	867	6254.38	32135	16989	15146	21976	13364	15891	.	11222	127.43	218.33	963.61	1418.04
45	130430	13	AM	Norte	1303	Centro_Amazonense	13010	Parintins	27904.26	7	0.62	3271	1032	102	946	6348.07	17094	8854	8240	13090	6606	12435	.	4052	86.4	204	725.92	1604.38
46	130115	13	AM	Norte	1303	Centro_Amazonense	13007	Manaus	2631.144	8	0.568	4352	1228	66	880	7183.86	23930	12688	11242	17459	8542	15467	17	7188	150	450	930.76	2050.17
47	130356	13	AM	Norte	1303	Centro_Amazonense	13008	Rio_Preto_da_Eva	5813.225	11	0.611	4386	1092	134	1938	8652.5	25719	13406	12313	19522	8668	13735	44	8822	202.18	297	1252.72	1628.31
48	130190	13	AM	Norte	1303	Centro_Amazonense	13009	Itacoatiara	8892.038	11	0.644	21005	5064	945	9553	11005.24	86839	44426	42413	66257	34634	54239	327	26675	170	303.75	1272.39	1900.48
49	130395	13	AM	Norte	1303	Centro_Amazonense	13010	Parintins	10741.08	5	0.577	2106	558	32	405	4665.65	10705	5680	5025	7913	4276	5806	.	4212	127.14	248.28	996.71	1797.22
50	130200	13	AM	Norte	1303	Centro_Amazonense	13009	Itacoatiara	4231.152	4	0.654	2154	667	45	1996	6661.12	8211	4299	3912	6330	3386	4766	4	2754	0	230.8	531.67	1938.23
51	130300	13	AM	Norte	1303	Centro_Amazonense	13010	Parintins	14105.585	5	0.586	4019	1058	114	1031	3952.25	18278	9496	8782	14238	7027	16173	15	2018	65	233.33	592.84	1748.32
52	130310	13	AM	Norte	1303	Centro_Amazonense	13009	Itacoatiara	5608.565	5	0.558	6711	1354	115	1303	4922.42	30696	15748	14948	22286	12266	21652	22	7851	78.57	231.43	867.99	1743.4
53	130400	13	AM	Norte	1303	Centro_Amazonense	13009	Itacoatiara	3748.833	6	0.632	2235	431	36	525	7062.27	8444	4498	3946	6305	3373	6413	.	1843	131	223	1012.43	1397.15
54	130290	13	AM	Norte	1303	Centro_Amazonense	13010	Parintins	39989.886	5	0.588	13915	2516	523	3108	5305.9	52236	27283	24953	37873	22562	37823	9	12331	69.11	243.33	797.42	1847.91
55	130440	13	AM	Norte	1303	Centro_Amazonense	13009	Itacoatiara	2906.701	5	0.588	3590	757	102	671	4805.41	17837	9529	8308	13364	6808	12404	.	4682	72.86	214.83	795.07	1600.55
56	130068	13	AM	Norte	1303	Centro_Amazonense	13010	Parintins	2586.846	3	0.565	3878	882	47	223	4052.89	14979	7945	7034	11092	6368	10894	.	3882	57.14	178	618.12	1400.92
57	130050	13	AM	Norte	1303	Centro_Amazonense	13010	Parintins	5750.565	6	0.574	8232	1881	171	1300	4344.22	27355	14312	13043	19258	12141	23317	8	3743	60	157.14	561.32	1173.48
58	130340	13	AM	Norte	1303	Centro_Amazonense	13010	Parintins	5952.39	19	0.658	22019	7769	901	8481	6617.43	102033	52304	49729	81470	42027	83487	54	16167	92.5	263.33	771.81	1943.81
59	130370	13	AM	Norte	1302	Sudoeste_Amazonense	13003	Alto_Solim§es	12307.193	5	0.49	5990	934	37	588	4042.03	24481	12592	11889	15238	9665	12331	.	11153	16	117.64	661.95	1109.08
60	130390	13	AM	Norte	1302	Sudoeste_Amazonense	13003	Alto_Solim§es	19745.898	4	0.521	9043	1432	38	828	4130.42	31422	16266	15156	19991	12235	15969	.	13694	33.5	161.43	691.75	1438.99
61	130195	13	AM	Norte	1302	Sudoeste_Amazonense	13004	Juruß	25275.925	3	0.477	2689	332	23	375	6426.41	8038	4236	3802	4066	3369	6082	.	1155	19.14	122.5	267.54	1637.51
62	130240	13	AM	Norte	1304	Sul_Amazonense	13012	Purus	68233.824	14	0.531	9158	1719	174	1497	7458.23	37701	19638	18063	23055	13404	27093	.	7800	100	190	1028.33	1225.62
